,Tweet_text,obesity_present,pre_count,post_count
84,"#Healthcare: #13 - Low Carb for Doctors with Dr David Unwin @lowcarbGP ""What About Cholesterol"" - 4 min 13 sec  https://t.co/dwVnU58Lz5 #Sugar #NAFLD #Obesity #LCHF #T2Diabetes  #Health",True,1,1
85,RT @WorldObesity: New Health Survey for England 2018 data published today highlights that a wide gap still exists in % of children living w…,True,0,0
86,"RT @APSPhysiology: Metformin improves diet-induced #MetabolicSyndrome symptoms, including #obesity and inflammation, even without the prese…",True,1,3
87,"RT @DanielJDrucker: Looking back on the role of DPP4 in hepatocytes, and implications for metabolism #inflammation #obesity with a recent u…",True,0,1
88,Save the Date: The State of #Obesity 2019: Better Policies for a Healthier America National 🖥 Webinar: https://t.co/dyLLoOqao1,True,0,0
89,Our poster at #IDF2019 Busan on effects of #GDM #obesity on neonatal adiposity from @_MAASTHI cohort. Thanks to @thePHFI @indiaalliance @epigiri and @_MAASTHI team https://t.co/32p82JQJBG,True,1,0
90,RT @NeilFlochMD: Food for thought about manipulating gut bacteria - #microbiome - #probiotics @neilflochmd - #obesity https://t.co/WGeM0S25…,True,1,0
91,RT @mnt: Why scientists are studying hibernation to tackle obesity https://t.co/UI369X6HMH @mnt #obesity #noncodingDNA,True,0,0
92,"RT @BDAStudent: The variety of research within Obesity specialisms shows just how multifaceted the topic is.

Talks re management of Obesit…",True,0,0
95,"Top Nov RT:  Prof Grant Schofield says ""taxes needed to drive up prices ... &amp; ultra-processed food environment was driving tooth rot #diabetes #cancer #Alzheimer's #heartdisease #stroke &amp; #Mentalhealth problems"" https://t.co/Ve6XR9xkTY … #healthcare #obesity #EatRealFood #health",True,2,4
96,Congratulations to Constanza Pena the winner of the best abstract in the #obesity stream of the #BDAResearch symposium 👏🏼👏🏼👏🏼 https://t.co/swvgvFu6af,True,0,0
100,"#Health : Lewis Cantley, Ph.D, Director, Meyer Cancer Clinic, The Sugar-Cancer Connection - ""Sugar promotes cancer"" 1.20 min video  https://t.co/kVrDhePMGs  #Cancer #sugar #obesity #T2Diabetes #healthy #lifestyle #healthcare",True,3,5
101,"4 INGREDIENT #PANCAKES
4 eggs
2 whole bananas
1 tsp cinnamon
1 cup old fashioned oats
Directions- blend in a blender until smooth-pour small circular shapes #DrPatriciamd #obesity #healthy #children #families #empowering #Orangecounty #Servingkidshope #kidshealth #battleobesity https://t.co/xsdsctS1SE",True,0,0
103,Why scientists are studying hibernation to tackle obesity https://t.co/SSVUTsgcwH @mnt_weightloss #obesity #noncodingDNA,True,0,0
104,Why scientists are studying hibernation to tackle obesity https://t.co/HbrNz4HpgB @mnt_mariacohut #obesity #noncodingDNA,True,0,0
105,Why scientists are studying hibernation to tackle obesity https://t.co/UI369X6HMH @mnt #obesity #noncodingDNA,True,0,0
106,"A light, fast dessert, a citrus extract for #obesity and #diabetes, a probiotic that could help with leaky gut, and more in this month's Inside Pennington Biomedical https://t.co/iz0IwQDLPr",True,0,1
107,"Dr Amal Hasan is based at the Dasman Diabetes Institute. Her work looks at the role of interleukin-33 in preventing #metabolic disease. The article explores the link between metabolic syndrome and #obesity.
#diabetes #metabolism #WednesdayWisdom #wednesday #Health #HealthyEating https://t.co/8a2hbu2H0A",True,0,6
108,"The #prolongevity programme is picking up across the entire UK and becoming familiar in other parts of the world. Find out how you can live longer with our unique course.
-
https://t.co/K0M5CC3DCG
-
#prediabetes #obesity #diabetes #diabetic #overweight #type2diabetes #health",True,0,3
109,#Health: Breaking Food Addiction a comprehensive discussion (47 min video) with Robert Cywes &amp; Ivor Cummins @FatEmporor with great suggestions for losing weight &amp; changing #lifestyle  https://t.co/ey56tEUuDE #obesity #T2Diabetes #Cancer #diet #nutrition #Keto #LowCarb #healthcare,True,4,2
110,JAMA publishes new CDC study: 1 in 5 US adolescents is Pre-Diabetic @Jama_current @JAMAPediatrics @CDCGov @andeslinda @YILINGCHENG1 #diet #diabetes #publichealth #obesity #lifestyle #pediatrics https://t.co/Eh8OalvlOc https://t.co/a2yXYzxKPs,True,1,1
113,"The obesity epidemic: Over half of adults at risk of chronic diseases @NHSDigital #healthsurvey #obesity 
https://t.co/updtu4nRYy",True,0,1
114,"RT @danielzliu: Infections following Immediate Implant-Based #BreastReconstruction: Risk factors include #obesity, hypertension, and neoadj…",True,0,0
116,"The Obesity (Under) Treatment Conundrum
https://t.co/YEUA2GWluj via @dietzwcd4 @ObesitySociety 

#obesity #lifestyle #behavior #medication #healthcare https://t.co/g9umlD7XE4",True,1,0
118,"RT @nick_krontiris: The elusive ""hunger protein"": an appetite-stimulatory factor that is overabundant in human obesity (open access)

https…",True,1,0
121,BBC News - 'Sugar overload' warning for festive hot drinks https://t.co/CFPAeL1SH5 #obesity,True,1,0
125,RT @hmeldridge: New study has found a correlation between tweets about  #food and mortality rates from #obesity related deaths. There is a…,True,1,0
128,"Call for #Abstract Submission at #EuroNutrition2020 #Nutritionists #Dietitian #Nutrition #Pediatrics #Food #Human #Animal #Plant #Dairy #Cancer #Obesity #Clinical #Medical #Diabetes #Health #Publichealth #wellness  #foodtechnology #sports #cardiovascular #
https://t.co/FfU6wdgLK8 https://t.co/4xE8GERZiP",True,6,2
130,"https://t.co/Q1BOyMC6iX
New research concepts 
@2020_nutrition
 #Nutrition #Pediatric #Clinical #Plant #Animal #Food #Livestock #Medical #Prenatal #Foodtechnology #Dairy #HealthyFood #publichealth #allergy #Conferences #immunology #obesity #diabetes Any queries?? Contact us.. https://t.co/UtCii261SN",True,5,1
131,"Metformin improves diet-induced #MetabolicSyndrome symptoms, including #obesity and inflammation, even without the presence of gut #microbiota, contrary to previous findings: https://t.co/d1gNoyhAr4 via @AJPEndoMetab #APSselect CC: @BenoitChassaing, @GSUIBMS https://t.co/fdbWe6Tuy3",True,1,3
132,"Avail exciting #Christmas discounts 
@2020_nutrition
 #Nutritionists #Dietitian #Nutrition #Pediatrics #Food #Human #Animal #Plant #Dairy #Cancer #Obesity #Clinical #Medical #Diabetes #Health #Taiwan #Turkey #China #Japan #France #Italy #Ukraine #USA #UK 
https://t.co/jArG2prfkN https://t.co/8nlsnYfsDb",True,5,2
133,"Lack of sleep leaves us feeling tired and grumpy but there are also many health conditions which are closely linked. Check out our website for tips on how to improve sleep
#sleep #wellbeing #health #toptips #heartdisease #diabetes #mentalhealth #obesity #wellness https://t.co/EA4Yvs3dst",True,3,3
134,RT @Dialogue4Health: Register today for this 1/29 #webinar (no cost). State of Obesity: Better Policies for a Healthier America - https://t…,True,0,0
135,RT @garyruskin: How Latin America took on childhood #obesity.  Via @axios https://t.co/rbLelM60Ns,True,0,0
139,"Register today for this 1/29 #webinar (no cost). State of Obesity: Better Policies for a Healthier America - https://t.co/RYAbBmhSe6 @HealthyAmerica1
@foodlabdetroit @Dialogue4Health #PublicHealth #HealthPolicy #Obesity https://t.co/DxJ50cYyo6",True,1,0
140,CORINTHIANS 3:17 #OBESITY IS DESTROYING GODS TEMPLE SIGN UP https://t.co/GyuznrxuXR PLZ RT https://t.co/Bbrfy3e3hq,True,0,0
141,RT @FloridaMedical: The true costs of obesity. #Obesity and overweight are risk factors for a wide range of chronic diseases that together…,True,0,1
142,The true costs of obesity. #Obesity and overweight are risk factors for a wide range of chronic diseases that together accounted for more than $1.5 trillion in healthcare costs and lost productivity. https://t.co/dgIV2nRX6K,True,0,1
143,"Meeting with Member of the European Parliament Committee on Agriculture and Rural Development @IECarvalhais to discuss

👉#FoodSecurity
👉#Malnutrition 
👉#Obesity
👉#FoodWaste

&amp; the recently released @FAO Guiding Principles on Sustainable Healthy Diets: https://t.co/11Krzt3yq6 https://t.co/sTk1csGxVl",True,4,0
144,#Preventing #obesity “Sugar overload” warning for festive hot drinks.  https://t.co/I5xZSColzN,True,1,0
145,"Infections following Immediate Implant-Based #BreastReconstruction: Risk factors include #obesity, hypertension, and neoadjuvant #chemotherapy https://t.co/781rEj7AT1 #PlasticSurgery @prsjournal",True,0,1
146,"Women who are overweight after menopause have a higher risk of breast cancer. 

Watch our Breast Cancer Symposium Takeaways &amp; Nutritional Guidance on our Youtube channel: https://t.co/cOrLaSe87f

#breastcancer #breastcancerrisk #overweight #obesity #womenshealth https://t.co/mYJ8BtVIPx",True,1,4
148,"80 percent of vitamin D is covered by sunlight. You can get your vitamin D requirement by taking 15 minutes of daylight. ☀️
.
.
#healthtourism #weightloss #sleevegastrectomy #obesity #medicaltourism #plasticsurgery #medical #plasticsurgeon #pamukkale #liposuction #tourism https://t.co/3QDfgbA9Aw",True,2,1
149,"@javierbutra Great thread. Thanks for sharing
So, just ""walking"" may be useful as first approach for very sedentary / old patients, but overall recommendation should encourage strenght exercise in order to achieve all the benefitis of muscular activity #obesity",True,1,0
151,𝗟𝗼𝘁𝘀 𝗼𝗳 𝟭 𝗽𝗼𝘂𝗻𝗱 𝗹𝗼𝘀𝘀𝗲𝘀 = 𝗺𝗮𝗻𝘆 𝗽𝗼𝘂𝗻𝗱𝘀 𝗹𝗼𝘀𝘁! I talk about that in this episode of FatChat℠. https://t.co/jk1xB6kXto #weightloss #obesity #health #fitness #dieting,True,2,0
152,What is it about #ultraprocessed foods that encourages overeating? A recent study examined that question: https://t.co/DvBesgR8zy #obesity #diabetes,True,1,1
158,Could cannabis compounds be used to cure diet-induced diseases such as #obesity? Latest research findings might open the doors to a new area of public health research for #medicalcannabis: https://t.co/YpeZQA3fl4 https://t.co/oeeYOEDSZe,True,1,1
159,"The elusive ""hunger protein"": an appetite-stimulatory factor that is overabundant in human obesity (open access)

https://t.co/LCgoe3rkQH

#obesity",True,1,0
160,More #FUNERALS less #CELEBRATIONS - cause #OBESITY! SIGN UP NOW https://t.co/GyuznrxuXR PLZ RT https://t.co/Hp7MYDOiYj https://t.co/2T7FuVwzum,True,0,0
161,Fantastic piece of work! 🌟Really pleased to have been part of it. #obesity #nbtproud #outcomemeasures https://t.co/aABt3TvOU4,True,0,0
163,"4th World Congress on Diabetes and Obesity..
https://t.co/ZGZOROe7xC

@DiabetesUK @DiabetesUKCymru @Diabetescouk @DiabetesCanada @diabetesdaily @CDCObesity @PHE_obesity @ObesitySociety #diabetes #diabetestype1 #diabetestype2 #diabetesawareness #obesity #Conference
#EuroSciCon https://t.co/UbPgElEcVN",True,0,10
166,"Euro Clinical Obesity: https://t.co/oTwyI9OwcD
How much dietary saturated fat is too much? To know more Register today Euro Obesity #Paris, #France 2020. #Antidrug #obesity #overweight #prevention #Eatingdisorders #diabetes #physicalactivity #weightloss #dietetics #nutrition https://t.co/11eF6YhfxJ",True,3,1
168,The number is quite large...#Obesity is smiling. https://t.co/OYKLv4Ebn8,True,0,0
169,Fitness Ad or Hostage Video? Hard to Say - Only one example of hurtful marketing. Look at how #gyms and #fitness demonstrate #weightstigma and discrimination against those with the disease of #obesity in their ad graphics and photos - ConscienHealth https://t.co/Td23Mbadga,True,2,1
170,Fitness Ad or Hostage Video? Hard to Say - Only one example of hurtful marketing. Look at how #gyms and #fitness demonstrate #weightstigma and discrimination against those with the disease of #obesity in their ad graphics and photos. ConscienHealth https://t.co/qrjEX79nob,True,2,1
171,"Hey @marksandspencer , please don’t try to up sell chips when I’ve chosen a sandwich. Ridiculous. #obesity",True,0,0
173,RT @MayaC53728878: Referrals for obesity should be no different than referrals for heart issues. That doesn’t happen in obesity. #obesity i…,True,0,1
174,"Euro Clinical Obesity: https://t.co/oTwyI9OwcD
Reduce cardiovascular disease risk factors in pre-pubertal children by group programmes to treat obesity #Antidrug #obesity #overweight #prevention #Eatingdisorders #diabetes #physicalactivity #weightloss #dietetics #nutrition https://t.co/brKbMNGU11",True,2,2
176,"Happy to share the launch of FIRST scientifically designed purely vegetarian meal replacer #Optifast by @Nestle today at @MaxHealthcare
Great to be Nestle's countrywide launchpad for this very promising weight management program. #Weightloss #obesity https://t.co/iC5prS4C55",True,1,0
178,Bariquins for #Bariatric #Casualty #Rescue &amp; #Patient #Moving &amp; #Handling #Training from basic to Train-the-#Trainer level. See https://t.co/AhE363tODT #Fire #Paramedic #Ambulance #Nursing #Police #Firefighters #Hospital #BariatricTraining #Extrication #RTC #SAR #HART #Obesity https://t.co/JaD1QRqMNt,True,0,0
179,"RT @sarah4info: #Obesity &amp; #MetabolicSyndrome, Too Big of an Enemy to Be Just Fought with a Scalpel

'The metabolic syndrome kills, and the…",True,0,4
180,"3/6 silent signs of clinical depression.
There is a 100% cure. 
#heal #healyourself #selfhealing #overweight #obesity #weightgain 
#depression #clinicaldepression #mentalhealth #mentalhealthawareness… https://t.co/69KwL0zEQO",True,0,0
181,"Explore @Hindawi's Open Access portfolio of medical journals in #cardiology, #diabetes, #obesity and #nutrition. Look out for an exclusive Article Processing Charge (APC) discount during #WCIRDC2019 https://t.co/wx4jW2Iarn",True,1,1
182,"Explore @Hindawi's Open Access portfolio of medical journals in #cardiology, #diabetes, #obesity and #nutrition. Look out for an exclusive Article Processing Charge (APC) discount during #WCIRDC2019 https://t.co/rKaJN3fqwy",True,1,1
185,RT @ATNIndex: #Malnutrition and #obesity are linked to both the quantity and quality of food and given the fundamental and increasing role…,True,2,0
187,"1 in 5 US adolescents is now prediabetic, study says via @cnn #obesity #diabetes #prediabetes #usa https://t.co/Ib98DV2tJT https://t.co/N7p6b7d1ev",True,0,2
188,RT @BDA_Obesity: Great to see a packed room at today’s @BDA_Dietitians research symposium. Hearing from @AngelaMMadden about publishing res…,True,1,0
189,"There may be debate about if being hungry can make one #hangry but I know for sure that going long periods without eating can set you up to make less healthful food choices. Eating #regularmeals and #plannedsnacks can help. 

#obesity #healthyhabits 

https://t.co/4wFVGpynaZ",True,3,0
190,What a great selection of research from today’s first #obesity stream at the @BDA_Dietitians #bdaresearch symposium. Great to hear from a number of dietitians working in weight management and the research they’re involved in! https://t.co/sR7hnENqSj,True,2,0
191,"#Obesity puts our children at risk of developing serious diseases - such as Type 2 #diabetes, heart disease and depression.",True,0,4
193,"#Malnutrition and #obesity are linked to both the quantity and quality of food and given the fundamental and increasing role of food and beverage companies on food availably globally, their impact on the #nutritional status of #consumers worldwide is growing.
#IndiaNutritionIndex",True,6,0
194,"Question to ponder - Is SSB tax the solution to this issue? Is it sustainable? Tax on tobacco has been implemented long time ago, did the no. of smokers reduced?

#healtheconomics #publichealth #ssbtax #obesity",True,0,0
195,"The variety of research within Obesity specialisms shows just how multifaceted the topic is.

Talks re management of Obesity within CKD, Mental Health, Type 2 Diabetes and Pregnancy to name a few. Some fascinating topics of research, Thank you all! #BDAResearch #Obesity #BDA https://t.co/vJ3ij5HXe0",True,0,2
196,"Looking back on the role of DPP4 in hepatocytes, and implications for metabolism #inflammation #obesity with a recent update-First https://t.co/NvE3hsEjck",True,0,1
198,"New study has found a correlation between tweets about  #food and mortality rates from #obesity related deaths. There is a significant correlation between neighbourhoods that tweet more about  #unhealthy foods and higher rates of heart and kidney failure.

@newfoodeconomy",True,3,2
199,v nice read @hazlehurst_j #obsmuk #obesity https://t.co/Onusv4oSyQ,True,0,0
201,"It'll soon be Christmas, so what diet advice are you following in preparation?
How are you going to carry on losing weight or maintain the weight losses achieved so far?
https://t.co/jNLsdPip5i
#weightmanagement #weightloss #diet #obesity #health #christmas #xmas #losingweight https://t.co/GOFqZ6yPxr",True,2,0
203,Quality realistic #bariatrictraining at https://t.co/MLKRqzkFLF for the bulk/weight/look of a person with #obesity. Limbs flex like real. #Fire #Paramedic #Ambulance #NHS #Nursing #Police #HART #Firefighters #USAR #Hospital #Bariatric #Patient #Training #HealthAndSafety #Rescue https://t.co/r8ze4zhsR4,True,0,0
206,RT @rcpsychEDFac: The importance of #WeightStigma in driving #obesity being discussed by @DashaNicholls #rcpsychedfac19,True,0,0
207,"1 in 5 US adolescents is now prediabetic, study says. Please see https://t.co/0JEnqdeow7

#picstitch #health #wellness #nutrition #fitness #youth #fnce #fnce2018 #dietitian #rdn #rd2be #registereddietitian #nutritioneducation #obesity #foodeducation #evidencebased https://t.co/hKFETnmb5u",True,6,0
210,#obesity #smoking #DRF #distalradiusfracture #DASH #QuickDASH https://t.co/35tYWfrcyV,True,0,0
214,"RT @worldkidneyday: #Obesity, #HeartDisease and #Diabetes are the leading causes of #kidneydisease and #kidneyfailure! 😲😲

Remember, #water…",True,0,7
215,"New policies and evaluations have been added to @wcrfint's database, NOURISHING. This innovative tool provides an overview of policies implemented around the world that promote healthy diets and reduce #obesity. #enoughNCDs #beatNCDs #NCDs https://t.co/iZN4bVesCv",True,1,0
219,RT @NeilFlochMD: Great job guys #obesity #diabetes #IDF2019 @DrSharma @AbdTahrani @EASOobesity - @NeilFlochMD @ASMBS @ASMBSIH https://t.co/…,True,0,1
220,"How can they advertise (Smart Snacks) in a gym?
Only thing Smart about this is avoiding machine completely.
#obesity https://t.co/NLMyQh013F",True,1,0
